Časová značka,ID.dotaznik,ID.tazatel,ID.supervizor,Date,Incidence.number,A.1,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5a,C.1,C.1a,C.1.1,C.1.2,D.1,D.1a,D.1.1,D.1.1a,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.2male,E.1.2female,E.1.3,E.1.3-8,E.1.4,E.1.5,E.1.5-1,F.1,F.1.1,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.2,G.2.3,G.2.3-15,H.1,H.2,H.2-2,H.3,H.4,H.5,H.6,prepsal,Type.of.incidence,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5-answer,C.1,C.1-answer,C.1.1,C.1.2,D.1,D.1-answer,D.1.1,D.1.1-answer,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.3,E.1.4,E.1.4-answer,E.1.5,E.1.5-answer,F1.,F1.1,F.1.1-answer,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.1-answer,G.2.2,H.1,H.2,H.2-answer,H.3,H.4,H.5,H.6
2.7.2016 22:29:43,DPO-89-1-29,ONDV,LATO,23.6.2016,1,16,"Pracoval jako brusic. Jeho sef mu nevyplatil jednu mesicni mzdu 15 000,-",7,5,98,98,2,9,,1,Nedostal mesicni prijem.,15000,7,2,,,,,,,1,1,1,,,98,,38,1,C,2,,,,2,,2,2,,"2, 6, 7",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 12:25:42,OOLF-419-2-37,ONPL,ONPL,22.4.2016,1,14,"UCHYL NAFETOVANY OBTAZOVAL DCERU (13 ROKOV), CHCEL IST K RESPONDENTKE SPAT.",7,4,5,3,1,6,,2,,,,2,,,,,,,1,1,1,,,3,,27,,,2,,,,2,,2,2,NIC,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 12:32:19,OOLF-419-2-37,ONPL,ONPL,22.4.2016,2,7,"U MUZEA - CHTELA SI PUJCIT, BYLI TO RUSACI (BULHARI). POSLALI K NI PANI, KTERA PRISLA K RESPONDENTCE DOMU, CHTELA TYDENNI SPLATKY. VZALA RESPONDENTCE NAJEMNI SMLOUVU BEZ JEJIHO VEDOMI. SMLOUVU VRATILA AZ PO TOM, CO JI JEJI KAMARAD ZAVOLAL.",5,4,98,4,1,1,,1,VZALA NAJEMNI SMLOUVU A VYPIS Z UCTU,0,7,2,,,,,,,1,2,2,,,5,,1,1,BILA,2,,,,2,,2,2,"NIC, NAKONEC VRATILI DOKLADY",2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 12:36:39,ONPL-419-2-37,ONPL,ONPL,22.4.2016,3,21,PERVITIN NA NADRAZI,7,4,98,4,1,13,,2,,,,2,,,,,,,1,1,1,,,3,,27,,,2,,,,2,,2,2,,9,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 12:41:25,OOLF-419-2-37,ONPL,ONPL,22.4.2016,4,10,CHLAP V AUTE JEL ZA RESPONDENTKOU A NABIZEL JI 10.000 ZA SEX,7,5,98,3,1,6,,2,,,,2,,,,,,,1,1,1,,,6,,1,1,R,2,,,,2,,2,2,NIC,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 17:20:29,OOLD-146-2-18,ONPL,ONPL,21.4.2016,1,5,Z POKOJE NA UBYTOVNE JI UKRADLI TELEFON. MELA OTEVRENE DVERE.,7,9,98,3,1,1,,1,MOBIL,2200,7,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,MAMA NADAVALA.,6,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 17:25:27,OOLD-146-2-18,ONPL,ONPL,21.4.2016,2,21,RESPONDENTKE NABIZELI HEROIN.,7,14,98,3,1,13,,2,,,,2,,,,,,,2,1,1,,,3,,1,1,R,2,,,,2,,2,3,,10,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 17:40:25,OOLD-146-2-18,ONPL,ONPL,21.4.2016,3,9,NACKOVE JI VYHROZOVALI A NADAVALI,7,10,98,4,1,7,,2,,,,2,,,,,,,2,1,1,,,4,,1,,,2,,,,1,,2,2,NIJAK,7,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 18:54:12,OOLA-1155-2-24,ONPL,ONPL,22.4.2016,1,9,"PANI RESPONDENTCE NADAVALA, ZE JE CIGANKA A MA BILOU HOLCICKU. RESPONDENTKA SE OHRADILA. JINAK SE S PODOBNYM CHOVANIM SETKAVA CASTO.",7,4,3,4,1,13,,2,,,,2,,,,,,,1,1,2,,1,6,,1,,,2,,,,1,NADAVANI DO CIGANU,2,2,NIC,6,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 19:10:12,OOLB-377-2-28,ONPL,ONPL,22.4.2016,1,20,"NA ULICI RESPONDENTCE NADAVAJI, ZE JE CERNA A ZE JI CHCOU PODPALIT. STAVA SE TO OPAKOVANE.",7,4,98,2,1,7,,2,,,,2,,,,,,,5,1,1,5,,3,,1,,,2,,,,1,TYP NADAVKY,2,2,NIC,,2,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
